ProductID,ProductName,Category,Price
1,Laptop,Electronics,800
2,Phone,Electronics,500
3,Chair,Furniture,150
4,Desk,Furniture,300
5,Monitor,Electronics,200
6,Keyboard,Electronics,40
7,Mouse,Electronics,25
8,Printer,Electronics,150
9,Tablet,Electronics,350
10,Bookshelf,Furniture,180
11,Sofa,Furniture,600
12,Lamp,Furniture,80
13,Camera,Electronics,700
14,Webcam,Electronics,120
15,Smartwatch,Electronics,250
16,Router,Electronics,90
17,Microwave,Appliances,220
18,Blender,Appliances,100
19,Fan,Appliances,70
20,Heater,Appliances,160
21,Bed,Furniture,900
22,Mattress,Furniture,500
23,Pillow,Furniture,30
24,Cupboard,Furniture,450
25,TV,Electronics,1200
26,Speaker,Electronics,180
27,Coffee Maker,Appliances,130
28,Toaster,Appliances,60
29,Water Purifier,Appliances,300
30,Iron,Appliances,90
31,Air Conditioner,Appliances,1500
32,Washing Machine,Appliances,1100
33,Dryer,Appliances,1000
34,Refrigerator,Appliances,1300
35,Dishwasher,Appliances,800
36,Cooker,Appliances,250
37,Mixer,Appliances,110
38,Grill,Appliances,180
39,Projector,Electronics,950
40,Scanner,Electronics,220
41,VR Headset,Electronics,600
42,Fitness Tracker,Electronics,160
43,Game Console,Electronics,500
44,Game Controller,Electronics,60
45,Standing Desk,Furniture,700
46,Gaming Chair,Furniture,350
47,Stool,Furniture,100
48,Wall Clock,Furniture,45
49,Whiteboard,Furniture,150
50,Coat Rack,Furniture,75